2024-06-17 20:56:55,394 INFO:Starting system metrics collection...
2024-06-17 20:57:25,414 INFO:Collected metrics: {'cpu_usage': 3.0, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40471251, 'bytes_recv': 946155879, 'packets_sent': 234923, 'packets_recv': 676218, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:26,415 INFO:Collected metrics: {'cpu_usage': 3.5, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40472447, 'bytes_recv': 946156297, 'packets_sent': 234929, 'packets_recv': 676221, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:27,416 INFO:Collected metrics: {'cpu_usage': 10.7, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40472447, 'bytes_recv': 946156577, 'packets_sent': 234929, 'packets_recv': 676223, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:28,416 INFO:Collected metrics: {'cpu_usage': 6.4, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40472447, 'bytes_recv': 946156577, 'packets_sent': 234929, 'packets_recv': 676223, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:29,417 INFO:Collected metrics: {'cpu_usage': 2.8, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40472447, 'bytes_recv': 946156577, 'packets_sent': 234929, 'packets_recv': 676223, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:30,418 INFO:Collected metrics: {'cpu_usage': 3.2, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40472745, 'bytes_recv': 946157250, 'packets_sent': 234931, 'packets_recv': 676229, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:31,418 INFO:Collected metrics: {'cpu_usage': 3.0, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40474643, 'bytes_recv': 946157898, 'packets_sent': 234944, 'packets_recv': 676235, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:32,419 INFO:Collected metrics: {'cpu_usage': 15.2, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40475941, 'bytes_recv': 946160706, 'packets_sent': 234949, 'packets_recv': 676244, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:33,420 INFO:Collected metrics: {'cpu_usage': 19.6, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40475941, 'bytes_recv': 946160706, 'packets_sent': 234949, 'packets_recv': 676244, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:34,420 INFO:Collected metrics: {'cpu_usage': 33.8, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40475941, 'bytes_recv': 946160706, 'packets_sent': 234949, 'packets_recv': 676244, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:35,421 INFO:Collected metrics: {'cpu_usage': 18.4, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40476281, 'bytes_recv': 946161254, 'packets_sent': 234952, 'packets_recv': 676248, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:36,422 INFO:Collected metrics: {'cpu_usage': 29.7, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40477113, 'bytes_recv': 946161430, 'packets_sent': 234957, 'packets_recv': 676249, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:37,422 INFO:Collected metrics: {'cpu_usage': 14.1, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40477711, 'bytes_recv': 946162186, 'packets_sent': 234960, 'packets_recv': 676255, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:59:37,010 INFO:Starting system metrics collection...
